DF,Date,City,State,Division,Latitude,Longitude,Fatalities,Injured,Shooter Age,Shooter Age Category,Prior Mental Illness,Day of Week,Season,Male,Race/Ethnicity,AutoWeapon,School
GVData,2014-06-29,Saint Louis,MO,West North Central,38.64202765487872,-90.21672563309,0,4,,,nan,Sunday,Summer,,,,
GVData,2014-07-06,Saint Louis,MO,West North Central,38.67253898074597,-90.24307624389004,0,4,,,nan,Sunday,Summer,,,,
GVData,2014-07-27,Saint Louis,MO,West North Central,38.67146955033493,-90.21055896112787,0,5,,,nan,Sunday,Summer,,,,
GVData,2014-08-03,Saint Louis,MO,West North Central,38.691184202638496,-90.2441220875172,0,5,,,nan,Sunday,Summer,,,,
GVData,2014-09-27,Saint Louis,MO,West North Central,38.67146955033493,-90.21055896112787,0,5,,,nan,Saturday,Fall,,,,
GVData,2014-11-15,Springfield,MO,West North Central,37.24371400999078,-93.26159202179943,4,0,,,nan,Saturday,Fall,,,,
GVData,2014-12-02,Saint Louis,MO,West North Central,38.56145982515859,-90.24928697003357,1,5,,,nan,Tuesday,Winter,,,,
GVData,2014-12-24,Saint Louis,MO,West North Central,38.630680059376495,-90.20594994081465,1,3,,,nan,Wednesday,Winter,,,,
STData,2015-02-26,Tyrone,MO,West North Central,37.204442,-91.876583,8,1,36.0,30s,No,Thursday,Winter,Male,White,1.0,0.0
GVData,2015-03-07,Saint Louis,MO,West North Central,38.63531500037541,-90.22534700586708,0,4,,,nan,Saturday,Spring,,,,
GVData,2015-05-18,Kinloch,MO,West North Central,38.74487800084934,-90.32003620441161,0,4,,,nan,Monday,Spring,,,,
GVData,2015-05-24,Saint Louis,MO,West North Central,38.642038882720726,-90.21517724324237,0,4,,,nan,Sunday,Spring,,,,
GVData,2015-06-09,Saint Louis,MO,West North Central,38.65202004958505,-90.22562989509926,1,3,,,nan,Tuesday,Summer,,,,
GVData,2015-06-14,Saint Louis,MO,West North Central,38.64758019566754,-90.19749904807385,0,4,,,nan,Sunday,Summer,,,,
GVData,2015-07-14,Saint Louis,MO,West North Central,38.72256372873533,-90.23771772005205,0,4,,,nan,Tuesday,Summer,,,,
GVData,2015-07-22,Saint Louis,MO,West North Central,38.664340022329405,-90.23041990130692,0,6,,,nan,Wednesday,Summer,,,,
GVData,2015-07-26,Kansas City,MO,West North Central,39.10710005979385,-94.52015992930168,2,3,,,nan,Sunday,Summer,,,,
GVData,2015-08-04,Saint Louis,MO,West North Central,38.67241987421065,-90.26865412946673,1,4,,,nan,Tuesday,Summer,,,,
GVData,2015-08-09,Kansas City,MO,West North Central,39.05505003363596,-94.59314987742954,0,4,,,nan,Sunday,Summer,,,,
GVData,2015-09-05,Columbia,MO,West North Central,38.96767598528771,-92.31618601471008,0,4,,,nan,Saturday,Fall,,,,
GVData,2015-09-27,Kansas City,MO,West North Central,39.09127800217422,-94.56175503999077,0,4,,,nan,Sunday,Fall,,,,
GVData,2016-02-19,Edgerton,MO,West North Central,39.49224275020134,-94.62552162331836,4,0,,,nan,Friday,Winter,,,,
GVData,2016-02-21,Hazelwood,MO,West North Central,38.783334004126175,-90.35680299175756,1,3,,,nan,Sunday,Winter,,,,
STData,2016-02-21,Hazelwood,MO,West North Central,38.77144000000001,-90.370949,1,3,999.0,Multiple Shooters,Unknown,Sunday,Winter,Male,Black,,0.0
STData,2016-04-29,Ferguson,MO,West North Central,38.744217,-90.305391,0,4,999.0,Multiple Shooters,Unknown,Friday,Spring,,Other,,0.0
GVData,2016-07-13,Saint Louis,MO,West North Central,38.59071987846799,-90.23475722956564,2,2,,,nan,Wednesday,Summer,,,,
GVData,2016-07-30,Saint Louis,MO,West North Central,38.65401186483609,-90.26497965025976,0,5,,,nan,Saturday,Summer,,,,
GVData,2016-08-13,Joplin,MO,West North Central,37.07125479587013,-94.49438286589714,0,4,,,nan,Saturday,Summer,,,,
GVData,2016-08-28,Saint Louis,MO,West North Central,38.58377002579334,-90.24471993103843,2,2,,,nan,Sunday,Summer,,,,
GVData,2016-09-11,Kansas City,MO,West North Central,39.05215551239916,-94.59307101488396,0,6,,,nan,Sunday,Fall,,,,
GVData,2016-11-12,Kansas City,MO,West North Central,39.08620003568296,-94.5382199131596,1,3,,,nan,Saturday,Fall,,,,
GVData,2016-11-12,Kansas City,MO,West North Central,39.08620003568296,-94.5382199131596,1,3,,,nan,Saturday,Fall,,,,
GVData,2016-11-27,Kansas City,MO,West North Central,38.99805003264828,-94.55689990639542,0,7,,,nan,Sunday,Fall,,,,
GVData,2016-11-27,Kansas City,MO,West North Central,38.99805003264828,-94.55689990639542,0,7,,,nan,Sunday,Fall,,,,
GVData,2017-01-12,Kansas City,MO,West North Central,39.01226398023417,-94.48554401029159,3,2,,,nan,Thursday,Winter,,,,
GVData,2017-02-12,Caruthersville,MO,West North Central,36.190879706432575,-89.66720782657282,1,6,,,nan,Sunday,Winter,,,,
GVData,2017-03-24,Saint Louis,MO,West North Central,38.676894407365374,-90.25566213458784,1,6,,,nan,Friday,Spring,,,,
GVData,2017-06-01,Saint Louis,MO,West North Central,38.69428005474353,-90.25221989036177,3,1,,,nan,Thursday,Summer,,,,
GVData,2017-06-03,Saint Louis,MO,West North Central,38.66688626696398,-90.26686037596487,2,2,,,nan,Saturday,Summer,,,,
GVData,2017-06-13,Saint Louis (University City),MO,West North Central,38.66917005212474,-90.30997992041985,0,4,,,nan,Tuesday,Summer,,,,
GVData,2017-06-18,Saint Louis,MO,West North Central,38.644831254141224,-90.19440176034482,3,2,,,nan,Sunday,Summer,,,,
GVData,2017-06-25,Saint Louis,MO,West North Central,38.689573606239975,-90.24267940283457,1,3,,,nan,Sunday,Summer,,,,
GVData,2017-08-12,Saint Louis,MO,West North Central,38.79647498428656,-90.2124409704527,1,3,,,nan,Saturday,Summer,,,,
GVData,2017-08-24,Saint Louis,MO,West North Central,38.75594505058387,-90.2013681131812,4,0,,,nan,Thursday,Summer,,,,
GVData,2018-01-11,Saint Robert (St Robert),MO,West North Central,37.83188003480056,-92.1035098899638,2,2,,,nan,Thursday,Winter,,,,
GVData,2018-01-31,Saint Louis,MO,West North Central,38.672080039359656,-90.279389913324,0,4,,,nan,Wednesday,Winter,,,,
GVData,2018-04-25,Saint Louis,MO,West North Central,38.78712899460788,-90.202237009165,3,1,,,nan,Wednesday,Spring,,,,
GVData,2018-05-09,Saint Louis,MO,West North Central,38.66212538331293,-90.27109196772942,0,4,,,nan,Wednesday,Spring,,,,
GVData,2018-05-11,Saint Louis,MO,West North Central,38.6775141373151,-90.24527807006987,0,4,,,nan,Friday,Spring,,,,
GVData,2018-07-03,Saint Louis,MO,West North Central,38.65692971050549,-90.2424305655048,1,5,,,nan,Tuesday,Summer,,,,
GVData,2018-08-04,Kansas City,MO,West North Central,39.09119003410041,-94.56220992587609,0,6,,,nan,Saturday,Summer,,,,
GVData,2018-08-10,Saint Louis,MO,West North Central,38.64185099892404,-90.19462699545298,0,4,,,nan,Friday,Summer,,,,
GVData,2018-08-22,Saint Louis,MO,West North Central,38.62741002749064,-90.21778988196415,0,4,,,nan,Wednesday,Summer,,,,
GVData,2018-10-13,Saint Louis,MO,West North Central,38.75568479305335,-90.20484965437923,0,4,,,nan,Saturday,Fall,,,,
GVData,2018-11-01,Springfield,MO,West North Central,37.227155015443984,-93.2803069675715,3,2,,,nan,Thursday,Fall,,,,
GVData,2018-11-21,Saint Louis,MO,West North Central,38.680098320626,-90.24107368381694,0,4,,,nan,Wednesday,Fall,,,,
GVData,2018-12-23,Springfield,MO,West North Central,37.20800898839161,-93.30498697855741,1,6,,,nan,Sunday,Winter,,,,
GVData,2018-12-28,Saint Charles,MO,West North Central,38.78120399489123,-90.56361899271776,4,1,,,nan,Friday,Winter,,,,
GVData,2019-04-09,Kansas City,MO,West North Central,39.02906299057838,-94.5629669793709,1,3,,,nan,Tuesday,Spring,,,,
GVData,2019-05-04,Saint Louis,MO,West North Central,38.671730052992594,-90.26353990205729,1,4,,,nan,Saturday,Spring,,,,
GVData,2019-05-10,Saint Louis,MO,West North Central,38.66296174655545,-90.22737103748949,0,6,,,nan,Friday,Spring,,,,
GVData,2019-05-13,Saint Louis,MO,West North Central,38.677433016094106,-90.24346800998016,4,1,,,nan,Monday,Spring,,,,
GVData,2019-05-27,Saint Louis,MO,West North Central,38.71473170617415,-90.25377283309713,2,2,,,nan,Monday,Spring,,,,
GVData,2019-07-02,Saint Louis (Wellston),MO,West North Central,38.67137801305921,-90.29365599634762,0,4,,,nan,Tuesday,Summer,,,,
GVData,2019-07-06,Saint Louis,MO,West North Central,38.7496910145272,-90.26382497058428,5,0,,,nan,Saturday,Summer,,,,
GVData,2019-07-07,Saint Louis,MO,West North Central,38.63322002749575,-90.19612995451136,0,5,,,nan,Sunday,Summer,,,,
GVData,2019-08-07,Saint Louis,MO,West North Central,38.69599277047006,-90.25510255841999,3,1,,,nan,Wednesday,Summer,,,,
GVData,2019-08-18,Kansas City,MO,West North Central,39.042895016746094,-94.59565698848834,0,4,,,nan,Sunday,Summer,,,,
GVData,2019-08-23,Saint Louis,MO,West North Central,38.65783600074138,-90.27214602114269,1,3,,,nan,Friday,Summer,,,,
GVData,2019-09-14,Saint Louis,MO,West North Central,38.570398387479976,-90.25117212595612,1,3,,,nan,Saturday,Fall,,,,
GVData,2019-09-22,Kansas City,MO,West North Central,39.082179991100986,-94.48441999707576,0,5,,,nan,Sunday,Fall,,,,
GVData,2019-10-01,Saint Louis,MO,West North Central,38.6193300404676,-90.18603990328779,0,4,,,nan,Tuesday,Fall,,,,
GVData,2019-10-03,Marshall,MO,West North Central,39.10952823141622,-93.19354071865723,1,3,,,nan,Thursday,Fall,,,,
GVData,2019-10-05,Saint Louis,MO,West North Central,38.75086401996708,-90.2608000255473,0,5,,,nan,Saturday,Fall,,,,
GVData,2019-11-10,Kansas City,MO,West North Central,39.10569001413217,-94.52704901552157,0,4,,,nan,Sunday,Fall,,,,
GVData,2019-12-12,Saint Louis (Moline Acres),MO,West North Central,38.74898121825198,-90.23945469825884,1,3,,,nan,Thursday,Winter,,,,
GVData,2020-01-01,Saint Louis,MO,West North Central,38.599175913660176,-90.224150753834,3,2,,,nan,Wednesday,Winter,,,,
GVData,2020-01-19,Kansas City,MO,West North Central,39.033862007331976,-94.41830899306494,2,15,,,nan,Sunday,Winter,,,,
GVData,2020-01-26,Cape Girardeau,MO,West North Central,37.294268997988794,-89.52886801656747,0,5,,,nan,Sunday,Winter,,,,
GVData,2020-02-29,Kansas City,MO,West North Central,39.05272900082764,-94.59218201906988,1,4,,,nan,Saturday,Winter,,,,
VPData,2020-03-15,Springfield,MO,West North Central,37.15812064160577,-93.22900075046851,5,2,31.0,30s,nan,Sunday,Spring,Male,,0.0,0.0
MJData,2020-03-16,Springfield,MO,West North Central,37.210432,-93.23686,4,0,31.0,30s,Unknown,Monday,Spring,Male,Other,0.0,0.0
GVData,2020-03-20,Saint Louis,MO,West North Central,38.65266000789247,-90.22790600090656,0,4,,,nan,Friday,Spring,,,,
GVData,2020-05-09,Saint Louis,MO,West North Central,38.59259386719903,-90.24188092253168,0,4,,,nan,Saturday,Spring,,,,
GVData,2020-05-24,Saint Louis,MO,West North Central,38.66820005637976,-90.26601993956885,0,4,,,nan,Sunday,Spring,,,,
GVData,2020-06-01,Saint Louis,MO,West North Central,38.63211298763386,-90.20766202835723,0,4,,,nan,Monday,Summer,,,,
GVData,2020-06-06,Kansas City,MO,West North Central,39.09123005768808,-94.56342991188328,1,4,,,nan,Saturday,Summer,,,,
GVData,2020-06-07,Sikeston,MO,West North Central,36.86646998714025,-89.56762996016424,2,7,,,nan,Sunday,Summer,,,,
GVData,2020-06-13,Saint Louis,MO,West North Central,38.65873198428133,-90.21896100147579,2,4,,,nan,Saturday,Summer,,,,
GVData,2020-07-05,Columbia,MO,West North Central,38.95031002301272,-92.25593991217016,2,3,,,nan,Sunday,Summer,,,,
GVData,2020-07-14,Saint Joseph,MO,West North Central,39.76505003858594,-94.83873989192708,0,5,,,nan,Tuesday,Summer,,,,
GVData,2020-07-29,Saint Louis,MO,West North Central,38.7088211720587,-90.2568181619865,3,2,,,nan,Wednesday,Summer,,,,
GVData,2020-08-04,Saint Louis,MO,West North Central,38.68878313486826,-90.2530114108232,1,3,,,nan,Tuesday,Summer,,,,
GVData,2020-09-06,Kansas City,MO,West North Central,39.01079777805722,-94.5424004463171,0,6,,,nan,Sunday,Fall,,,,
GVData,2020-09-06,Saint Louis,MO,West North Central,38.667761326261406,-90.281546841079,1,3,,,nan,Sunday,Fall,,,,
GVData,2020-09-26,Saint Louis,MO,West North Central,38.65697499134882,-90.25554592791524,0,5,,,nan,Saturday,Fall,,,,
GVData,2020-10-10,Saint Louis (Jennings),MO,West North Central,38.731417481892976,-90.25799526607237,2,2,,,nan,Saturday,Fall,,,,
GVData,2020-11-04,Jefferson City,MO,West North Central,38.56099501185165,-92.17567698665694,0,4,,,nan,Wednesday,Fall,,,,
GVData,2020-11-14,Fulton,MO,West North Central,38.86670383664651,-91.94391350224495,0,4,,,nan,Saturday,Fall,,,,
GVData,2021-02-21,Kennett,MO,West North Central,36.2366411966071,-90.03577459793031,1,4,,,nan,Sunday,Winter,,,,
GVData,2021-04-10,Koshkonong,MO,West North Central,36.59499003393343,-91.64386995678949,1,3,,,nan,Saturday,Spring,,,,
GVData,2021-04-25,Kansas City,MO,West North Central,39.09123005768808,-94.56342991188328,1,3,,,nan,Sunday,Spring,,,,
VPData,1996-04-24,Jackson,MS,East South Central,32.29490827997591,-90.1851104577474,5,3,32.0,30s,No,Wednesday,Spring,Male,Black,1.0,0.0
STData,1997-10-01,Pearl,MS,East South Central,32.27492783,-90.09470655,2,7,16.0,High School,Yes,Wednesday,Fall,Male,White,0.0,1.0
VPData,2003-07-08,Meridian ,MS,East South Central,32.41366698230743,-88.65311534825224,7,8,48.0,40s,Yes,Tuesday,Summer,Male,White,1.0,0.0
GVData,2014-01-11,Jackson,MS,East South Central,32.32355801031159,-90.22845702722131,0,4,,,nan,Saturday,Winter,,,,
GVData,2014-03-30,Starkville,MS,East South Central,18.776095734718467,100.77393496701143,0,5,,,nan,Sunday,Spring,,,,
GVData,2014-09-02,Jackson,MS,East South Central,32.340230330056194,-90.2141699221102,2,3,,,nan,Tuesday,Fall,,,,
GVData,2014-09-20,Batesville,MS,East South Central,34.339521825062924,-90.05226671314739,2,2,,,nan,Saturday,Fall,,,,
GVData,2014-12-21,Waynesboro,MS,East South Central,31.679084286641828,-88.65809300709009,1,4,,,nan,Sunday,Winter,,,,
STData,2015-03-13,Brookhaven,MS,East South Central,31.58036482,-90.44323475,2,3,32.0,30s,Unknown,Friday,Spring,Male,Black,1.0,0.0
GVData,2015-08-09,Forest,MS,East South Central,32.370658402876714,-89.45665631216605,1,3,,,nan,Sunday,Summer,,,,
GVData,2016-02-07,Pass Christian,MS,East South Central,30.32191705376297,-89.244402475828,2,4,,,nan,Sunday,Winter,,,,
GVData,2016-02-20,Iuka,MS,East South Central,34.7543440036263,-88.13810701860956,2,3,,,nan,Saturday,Winter,,,,
STData,2016-02-20,Iuka,MS,East South Central,34.7404,-88.1383,2,3,45.0,40s,Unknown,Saturday,Winter,Male,White,,0.0
GVData,2016-04-27,Kilmichael,MS,East South Central,33.435352975114014,-89.57241867280581,3,1,,,nan,Wednesday,Spring,,,,
GVData,2016-08-07,Vicksburg,MS,East South Central,32.34374900923285,-90.82954702471828,1,3,,,nan,Sunday,Summer,,,,
GVData,2016-10-28,Jackson,MS,East South Central,32.33375224215623,-90.18107638996807,0,6,,,nan,Friday,Fall,,,,
GVData,2016-10-28,Jackson,MS,East South Central,32.33375224215623,-90.18107638996807,0,6,,,nan,Friday,Fall,,,,
GVData,2016-11-23,Olive Branch,MS,East South Central,34.84733199926434,-89.86549103160644,0,4,,,nan,Wednesday,Fall,,,,
GVData,2017-01-01,Winstonville,MS,East South Central,33.91223000000008,-90.75072999999998,0,5,,,nan,Sunday,Winter,,,,
GVData,2017-01-15,Magnolia,MS,East South Central,31.128136946957426,-90.5339487852896,1,4,,,nan,Sunday,Winter,,,,
GVData,2017-01-20,Como,MS,East South Central,34.53341918668878,-89.77417116578172,1,4,,,nan,Friday,Winter,,,,
VPData,2017-02-06,Yazoo City,MS,East South Central,32.86229920274013,-90.40403039679217,4,0,27.0,20s,No,Monday,Winter,Male,Black,,0.0
GVData,2017-02-09,Jackson,MS,East South Central,32.306475476156095,-90.2396198049622,4,0,,,nan,Thursday,Winter,,,,
GVData,2017-02-21,Toomsuba,MS,East South Central,32.43446342644908,-88.49855814296389,4,0,,,nan,Tuesday,Winter,,,,
GVData,2017-05-27,Bogue Chitto,MS,East South Central,31.410529830447416,-90.46135580838406,8,1,,,nan,Saturday,Spring,,,,
GVData,2017-05-28,Moss Point,MS,East South Central,30.431700018435567,-88.52594002547018,0,5,,,nan,Sunday,Spring,,,,
GVData,2017-07-06,Meridian,MS,East South Central,32.40499004367972,-88.68568489266823,0,4,,,nan,Thursday,Summer,,,,
GVData,2017-10-16,Meridian,MS,East South Central,32.359953649197244,-88.72702350700695,1,3,,,nan,Monday,Fall,,,,
GVData,2017-11-24,Brookhaven,MS,East South Central,31.573667198355608,-90.44425355967188,1,6,,,nan,Friday,Fall,,,,
GVData,2017-12-16,Mc Cool (Mccool),MS,East South Central,33.177516771871105,-89.43858549930479,0,4,,,nan,Saturday,Winter,,,,
GVData,2017-12-24,Vicksburg,MS,East South Central,32.351675020694586,-90.8827140232933,0,5,,,nan,Sunday,Winter,,,,
GVData,2018-01-05,Hattiesburg,MS,East South Central,31.323112282759734,-89.32868594294027,0,6,,,nan,Friday,Winter,,,,
GVData,2018-05-13,Byhalia,MS,East South Central,34.855490021805984,-89.6532199204216,0,4,,,nan,Sunday,Spring,,,,
GVData,2018-05-20,Hazlehurst,MS,East South Central,31.85214193956531,-90.38867813469672,1,7,,,nan,Sunday,Spring,,,,
GVData,2019-02-16,Clinton,MS,East South Central,32.352499003686255,-90.319408974759,5,0,,,nan,Saturday,Winter,,,,
GVData,2019-04-02,Hermanville,MS,East South Central,31.973412273204175,-90.81917482891363,0,4,,,nan,Tuesday,Spring,,,,
GVData,2019-04-27,Jackson,MS,East South Central,32.276434798342365,-90.2284221082242,1,3,,,nan,Saturday,Spring,,,,
GVData,2019-05-18,Cascilla,MS,East South Central,33.884769996574505,-90.12015001388274,1,4,,,nan,Saturday,Spring,,,,
GVData,2019-08-12,Greenwood,MS,East South Central,33.51913000620861,-90.17399996992852,0,4,,,nan,Monday,Summer,,,,
GVData,2019-12-20,Waynesboro,MS,East South Central,31.669840364353856,-88.6452107548929,1,6,,,nan,Friday,Winter,,,,
GVData,2020-01-08,Bay Saint Louis,MS,East South Central,30.31298498637648,-89.36899201449425,2,2,,,nan,Wednesday,Winter,,,,
GVData,2020-02-01,Philadelphia,MS,East South Central,32.77166667540823,-89.1172788777778,0,4,,,nan,Saturday,Winter,,,,
GVData,2020-02-17,Port Gibson,MS,East South Central,32.03185824728888,-90.94786407288036,2,2,,,nan,Monday,Winter,,,,
GVData,2020-04-15,Jackson,MS,East South Central,32.29413930258264,-90.24152054484337,1,3,,,nan,Wednesday,Spring,,,,
GVData,2020-05-23,Jackson,MS,East South Central,32.27494605055916,-90.21879607854021,1,4,,,nan,Saturday,Spring,,,,
GVData,2020-05-26,Vicksburg,MS,East South Central,32.344147987824,-90.83727497180796,0,4,,,nan,Tuesday,Spring,,,,
GVData,2020-05-31,Gulfport,MS,East South Central,30.40888003558333,-89.08567991530788,1,5,,,nan,Sunday,Spring,,,,
GVData,2020-06-06,Drew,MS,East South Central,33.81112451907744,-90.52577645759331,0,5,,,nan,Saturday,Summer,,,,
GVData,2020-07-04,Jackson,MS,East South Central,32.39591499902117,-90.13925597543793,1,3,,,nan,Saturday,Summer,,,,
GVData,2020-07-05,Greenville,MS,East South Central,33.41104531765354,-91.04012197393203,0,4,,,nan,Sunday,Summer,,,,
GVData,2020-07-12,Como,MS,East South Central,34.55311998936959,-89.88354003517122,2,4,,,nan,Sunday,Summer,,,,
GVData,2020-08-09,Jackson,MS,East South Central,32.34352293933053,-90.21532558051143,0,4,,,nan,Sunday,Summer,,,,
GVData,2020-10-21,Canton,MS,East South Central,32.606929998196165,-90.06547603293578,2,2,,,nan,Wednesday,Fall,,,,
GVData,2020-10-24,Greenwood,MS,East South Central,33.50987281051354,-90.17756008147131,2,8,,,nan,Saturday,Fall,,,,
GVData,2020-11-29,Grenada,MS,East South Central,33.76873351935392,-89.71456924741007,0,11,,,nan,Sunday,Fall,,,,
GVData,2020-12-10,Jackson,MS,East South Central,32.28322999192552,-90.25444000505584,0,5,,,nan,Thursday,Winter,,,,
GVData,2020-12-22,Meridian,MS,East South Central,32.29773548345945,-88.66263288463932,5,0,,,nan,Tuesday,Winter,,,,
GVData,2021-02-05,Benoit,MS,East South Central,33.66023175410208,-91.05196245394468,3,1,,,nan,Friday,Winter,,,,
GVData,2021-02-27,Columbus,MS,East South Central,33.483529848851035,-88.42456843337021,0,4,,,nan,Saturday,Winter,,,,
GVData,2021-02-27,Pattison,MS,East South Central,31.889134344419016,-90.88936864106545,2,3,,,nan,Saturday,Winter,,,,
GVData,2021-03-07,Edwards,MS,East South Central,32.33714597977229,-90.59757181388052,0,4,,,nan,Sunday,Spring,,,,
GVData,2021-03-27,Yazoo City,MS,East South Central,32.86411004740005,-90.41125988141226,0,6,,,nan,Saturday,Spring,,,,
STData,1986-12-04,Lewistown,MT,Mountain,47.03740653,-109.4844918,1,3,14.0,Middle School,Yes,Thursday,Winter,Male,White,0.0,1.0
STData,2015-06-07,Deer Lodge,MT,Mountain,46.39761858,-112.73293329999998,5,0,59.0,50s,Unknown,Sunday,Summer,Male,White,1.0,0.0
GVData,2017-08-04,Lodge Grass,MT,Mountain,45.31662809983232,-107.36564176437562,3,2,,,nan,Friday,Summer,,,,
GVData,2019-03-14,Missoula,MT,Mountain,46.920650017876476,-114.07157999187315,1,3,,,nan,Thursday,Spring,,,,
GVData,2019-12-17,Great Falls,MT,Mountain,47.494519994358775,-111.27800004150629,4,1,,,nan,Tuesday,Winter,,,,
VPData,1972-05-29,Raleigh,NC,South Atlantic,35.837452850512626,-78.6430672386228,4,5,22.0,College Age,Yes,Monday,Spring,Male,Black,0.0,0.0
VPData,1988-07-17,Winston-Salem,NC,South Atlantic,35.999197985976565,-80.27443998506035,4,5,24.0,20s,Yes,Sunday,Summer,Male,White,0.0,0.0
VPData,1993-08-06,Fayetteville,NC,South Atlantic,35.07688001500297,-78.95382998462479,4,8,22.0,College Age,No,Friday,Summer,Male,White,0.0,0.0
VPData,1994-12-31,"Raeford, Hoke County, NC",NC,South Atlantic,34.981,-79.2242,5,1,18.0,High School,Yes,Saturday,Winter,Male,Black,0.0,0.0
STData,1995-01-26,Chapel Hill,NC,South Atlantic,35.92681467,-79.03850407,2,2,26.0,20s,Yes,Thursday,Winter,Male,White,1.0,0.0
STData,2006-08-30,Hillsborough,NC,South Atlantic,36.04099857,-79.09701201,1,2,18.0,High School,Yes,Wednesday,Summer,Male,Other,1.0,1.0
VPData,2009-03-29,Carthage,NC,South Atlantic,35.333285995448605,-79.41450499902224,8,3,45.0,40s,Yes,Sunday,Spring,Male,White,0.0,0.0
VPData,2009-11-01,Mt. Airy,NC,South Atlantic,36.48932202090012,-80.6100839938084,4,0,29.0,20s,No,Sunday,Fall,Male,Other,1.0,0.0
GVData,2014-01-27,Rocky Mount,NC,South Atlantic,35.96884598302135,-77.81909597936044,0,4,,,nan,Monday,Winter,,,,
GVData,2014-03-30,Charlotte,NC,South Atlantic,35.30562410245233,-80.85632615337327,0,5,,,nan,Sunday,Spring,,,,
GVData,2014-07-30,Hope Mills,NC,South Atlantic,35.000647988636345,-78.95093898240054,3,4,,,nan,Wednesday,Summer,,,,
GVData,2015-01-11,Hope Mills,NC,South Atlantic,34.935859441630306,-78.8680277028117,2,5,,,nan,Sunday,Winter,,,,
STData,2015-02-04,King,NC,South Atlantic,36.27617912,-80.35501402,4,0,35.0,30s,Unknown,Wednesday,Winter,Male,White,1.0,0.0
STData,2015-02-10,Chapel Hill,NC,South Atlantic,35.92681467,-79.03850407,3,0,46.0,40s,No,Tuesday,Winter,Male,White,1.0,0.0
STData,2015-02-24,Charlotte,NC,South Atlantic,35.226354,-80.836788,3,0,19.0,College Age,No,Tuesday,Winter,Male,Other,,0.0
STData,2015-02-28,Tarboro,NC,South Atlantic,35.90434471,-77.55639964,4,0,40.0,40s,Yes,Saturday,Winter,Male,Black,,0.0
GVData,2015-04-18,Lumberton,NC,South Atlantic,34.600606319028955,-79.03238054962947,1,3,,,nan,Saturday,Spring,,,,
GVData,2015-04-18,Charlotte,NC,South Atlantic,35.2256087000411,-80.90031465213549,0,4,,,nan,Saturday,Spring,,,,
STData,2015-06-20,Morven,NC,South Atlantic,34.86379864,-79.9996781,0,4,999.0,Multiple Shooters,Unknown,Saturday,Summer,Male,Black,,0.0
GVData,2015-07-19,Rocky Mount,NC,South Atlantic,35.9396383517687,-77.79118422755235,0,4,,,nan,Sunday,Summer,,,,
GVData,2015-08-08,Gastonia,NC,South Atlantic,35.192424005452736,-81.23982501273967,2,3,,,nan,Saturday,Summer,,,,
GVData,2015-08-21,Durham,NC,South Atlantic,36.0308536601085,-78.8778818590298,0,8,,,nan,Friday,Summer,,,,
GVData,2015-09-05,Charlotte,NC,South Atlantic,35.160434295074786,-80.91044521219447,1,3,,,nan,Saturday,Fall,,,,
GVData,2015-09-11,Charlotte,NC,South Atlantic,35.257079324998834,-80.89721137063466,0,5,,,nan,Friday,Fall,,,,
GVData,2015-10-10,Charlotte,NC,South Atlantic,35.21331819259889,-80.8915229484053,0,4,,,nan,Saturday,Fall,,,,
GVData,2015-10-25,Four Oaks,NC,South Atlantic,35.364101014735226,-78.36045703774339,0,5,,,nan,Sunday,Fall,,,,
GVData,2015-12-20,Wilmington,NC,South Atlantic,34.22887004643161,-77.93455988072537,1,4,,,nan,Sunday,Winter,,,,
STData,2016-03-26,Louisburg,NC,South Atlantic,36.09903900000001,-78.301106,3,0,24.0,20s,Unknown,Saturday,Spring,Male,Black,,0.0
GVData,2016-06-11,Charlotte,NC,South Atlantic,35.324300232572945,-80.71080776596952,1,3,,,nan,Saturday,Summer,,,,
GVData,2016-06-26,Charlotte,NC,South Atlantic,35.224640981864475,-80.88497999165439,0,5,,,nan,Sunday,Summer,,,,
GVData,2016-09-03,Wilmington,NC,South Atlantic,34.24631050400415,-77.9071493398923,1,3,,,nan,Saturday,Fall,,,,
GVData,2016-09-11,New Bern,NC,South Atlantic,35.079219469790125,-77.0298390617373,0,5,,,nan,Sunday,Fall,,,,
GVData,2016-09-26,Winston Salem (Winston-salem),NC,South Atlantic,36.1145775078444,-80.2456682480542,0,4,,,nan,Monday,Fall,,,,
GVData,2016-12-11,Rocky Mount,NC,South Atlantic,35.946697735993936,-77.77941362985234,0,4,,,nan,Sunday,Winter,,,,
GVData,2016-12-11,Rocky Mount,NC,South Atlantic,35.946697735993936,-77.77941362985234,0,4,,,nan,Sunday,Winter,,,,
GVData,2016-12-17,Charlotte,NC,South Atlantic,35.257732218562715,-80.79643702379379,0,4,,,nan,Saturday,Winter,,,,
GVData,2016-12-17,Charlotte,NC,South Atlantic,35.257732218562715,-80.79643702379379,0,4,,,nan,Saturday,Winter,,,,
GVData,2016-12-24,Madison,NC,South Atlantic,35.837116993027685,-82.55900924872763,0,7,,,nan,Saturday,Winter,,,,
GVData,2016-12-24,Wilson,NC,South Atlantic,35.73132598108208,-77.87304500950177,4,0,,,nan,Saturday,Winter,,,,
GVData,2017-04-07,Hickory,NC,South Atlantic,35.76615794735365,-81.30616095664121,3,1,,,nan,Friday,Spring,,,,
